Name,Size,Type,Alignment,HP,AC,Speed,Challenge_Rating,XP,STR,STR_Mod,DEX,DEX_Mod,CON,CON_Mod,INT,INT_Mod,WIS,WIS_Mod,CHA,CHA_Mod,Saving_Throws,Skills,Vulnerabilities,Damage_Vulnerabilities,Resistances,Immunities,Condition_Immunities,Passive_Perception,Senses,Languages,Traits,Actions,Reactions,Legendary_Actions,Legendary_Actions_Num,Bonus_Actions,Source_Name,Image_URL,cr_numeric,actual_hp,ac_value,speed_ground,speed_fly,speed_swim,speed_burrow,speed_climb,max_speed,movement_types_count,has_flying,size_ordinal,save_proficiency_count,skill_proficiency_count,resistance_count,immunity_count,vulnerability_count,condition_immunity_count,has_darkvision,darkvision_range,has_blindsight,has_truesight,has_tremorsense,passive_perception,action_count,reaction_count,bonus_action_count,has_legendary_actions,legendary_action_count,legendary_actions_per_round,highest_attack_bonus,highest_save_dc,estimated_dpr,feature_dpr,legendary_dpr,total_dpr,has_legendary_resistance,has_magic_resistance,has_regeneration,has_spellcasting,has_grapple,legendary_conditions,inflicts_poisoned,inflicts_blinded,inflicts_charmed,inflicts_deafened,inflicts_frightened,inflicts_incapacitated,inflicts_paralyzed,inflicts_petrified,inflicts_restrained,inflicts_stunned,inflicts_prone,has_advantage_condition,has_disadvantage_condition,has_attackers_advantage,feature_aggressive,feature_ambusher,feature_amorphous,feature_amphibious,feature_angelic_weapons,feature_antimagic_susceptibility,feature_avoidance,feature_blind_senses,feature_blood_frenzy,feature_breath_weapon,feature_brute,feature_charge,feature_charm,feature_constrict,feature_damage_absorption,feature_damage_transfer,feature_death_burst,feature_devils_sight,feature_dive_attack,feature_echolocation,feature_elemental_body,feature_enlarge,feature_etherealness,feature_false_appearance,feature_fey_ancestry,feature_fiendish_blessing,feature_flyby,feature_frightful_presence,feature_grapple,feature_grappler,feature_hold_breath,feature_horrifying_visage,feature_illumination,feature_immutable_form,feature_incorporeal_movement,feature_innate_spellcasting,feature_invisibility,feature_keen_senses,feature_labyrinthine_recall,feature_leadership,feature_legendary_resistance,feature_life_drain,feature_light_sensitivity,feature_magic_resistance,feature_magic_weapons,feature_martial_advantage,feature_mimicry,feature_nightmare_haunting,feature_nimble_escape,feature_otherworldly_perception,feature_pack_tactics,feature_parry,feature_possession,feature_pounce,feature_prone,feature_psychic_defense,feature_rampage,feature_read_thoughts,feature_reckless,feature_redirect_attack,feature_reel,feature_regeneration,feature_rejuvenation,feature_relentless,feature_shadow_stealth,feature_shapechange,feature_siege_monster,feature_slippery,feature_sneak_attack,feature_spell_immunity,feature_spellcasting,feature_spider_climb,feature_standing_leap,feature_steadfast,feature_stench,feature_sunlight_sensitivity,feature_superior_invisibility,feature_sure_footed,feature_surprise_attack,feature_swallow,feature_teleport,feature_terrain_camouflage,feature_threatening_reach,feature_tunneler,feature_turn_immunity,feature_turn_resistance,feature_two_heads,feature_web,feature_web_sense,feature_web_walker,feature_wounded_fury,feature_ac,feature_attack,total_ac,total_attack,hp_baseline,ac_baseline,attack_baseline,dpr_baseline,dc_baseline,size_ordinal_baseline,speed_ground_baseline,fly_speed_baseline,speed_fly_deviation,darkvision_baseline,darkvision_deviation,ac_deviation,attack_deviation,dpr_deviation,save_dc_deviation,size_ordinal_deviation,speed_ground_deviation,feature_hp,hp_after_phase1,resistance_multiplier,immunity_multiplier,hp_after_phase2,resistance_penalty,immunity_penalty,total_defensive_penalty,hp_after_resist_immun_penalty,has_legendary_resistance_scaled,has_regeneration_scaled,residual_hp,family,cr_tier
Giant Goat,Large,beast,Unaligned,19 (3d10+3),11 (Natural Armor),40 ft.,1/2,100,17,3,11,0,12,1,3,-4,12,1,6,-2,—,—,—,—,—,—,—,11,—,—,"[{""Name"":""Charge"",""Desc"":""If the goat moves at least 20 ft. straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 5 (2d4) bludgeoning damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.""},{""Name"":""Sure-Footed"",""Desc"":""The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.""}]","[{""Name"":""Ram"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""5"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""2d4 + 3"",""Damage Type"":""bludgeoning""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390064278/X8p5UYkSmJoSjU7R_q8ncA/original.png,0.5,19,11,40,0,0,0,0,40,1,0,3,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,5.0,13,8.0,0.0,0,8.0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,-1.0,1.0,0.0,1.0,1.0,10.0,0.0,33.0,0.25,0.25,28.25,0.0,0.0,0.0,28.25,0.0,0.0,-9.25,giant,cr1
Gnoll,Medium,humanoid (gnoll),Chaotic Evil,22 (5d8),"15 (Hide Armor, Shield)",30 ft.,1/2,100,14,2,12,1,11,0,6,-2,10,0,7,-2,—,—,—,—,—,—,—,10,Darkvision 60 Ft.,Gnoll,"[{""Name"":""Rampage"",""Desc"":""When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack.""}]","[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one creature"",""Damage"":""1d4 + 2"",""Damage Type"":""piercing""},{""Name"":""Spear"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d8 + 2"",""Damage Type"":""piercing"",""Desc"":""two handed""},{""Name"":""Spear"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""},{""Name"":""Spear"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""4"",""Reach"":""20/60 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""},{""Name"":""Longbow"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""3"",""Reach"":""150/600 ft."",""Target"":""one target"",""Damage"":""1d8 + 1"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390064257/2V1VJKCdVoE1F6OD4Loz3w/original.png,0.5,22,15,30,0,0,0,0,30,1,0,2,0,0,0,0,0,0,1,60,0,0,0,10,5,0,0,0,0,0,4.0,0,5.5,2.0,0,7.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,3.0,0.0,-0.5,0.0,0.0,0.0,0.0,33.0,0.25,0.25,28.875,0.0,0.0,0.0,28.875,0.0,0.0,-6.875,humanoid,cr1
Gray Ooze,Medium,ooze,Unaligned,22 (3d8+9),8,"10 ft., climb 10 ft.",1/2,100,12,1,6,-2,16,3,1,-5,6,-2,2,-4,—,Stealth +2,—,—,"Acid, Cold, Fire",—,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",8,Blindsight 60 Ft. (Blind Beyond This Radius),—,"[{""Name"":""Amorphous"",""Desc"":""The ooze can move through a space as narrow as 1 inch wide without squeezing.""},{""Name"":""Corrode Metal"",""Desc"":""Any nonmagical weapon made of metal that hits the ooze corrodes. After dealing damage, the weapon takes a permanent and cumulative -1 penalty to damage rolls. If its penalty drops to -5, the weapon is destroyed. Nonmagical ammunition made of metal that hits the ooze is destroyed after dealing damage. The ooze can eat through 2-inch-thick, nonmagical metal in 1 round.""},{""Name"":""False Appearance"",""Desc"":""While the ooze remains motionless, it is indistinguishable from an oily pool or wet rock.""}]","[{""Name"":""Pseudopod"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 1"",""Damage Type"":""bludgeoning"",""Damage 2"":""2d6"",""Damage 2 Type"":""acid"",""Desc"":""If the target is wearing nonmagical metal armor, its armor is partly corroded and takes a permanent and cumulative -1 penalty to the ac it offers The armor is destroyed if the penalty reduces its AC to 10""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390064428/ZL45q8iQkhWGp8IJ6kp4qg/original.png,0.5,22,8,10,0,0,0,10,10,2,0,2,0,1,3,0,0,6,0,0,1,0,0,10,1,0,0,0,0,0,3.0,0,11.5,0.0,0,11.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,-4.0,-1.0,3.5,0.0,0.0,-20.0,0.0,33.0,0.25,0.25,38.375,9.59375,0.0,9.59375,28.78125,0.0,0.0,-6.78125,gray ooze,cr1
Magmin,Small,elemental,Chaotic Neutral,9 (2d6+2),14 (Natural Armor),30 ft.,1/2,100,7,-2,15,2,12,1,8,-1,11,0,10,0,—,—,—,—,"Bludgeoning, Piercing, and Slashing From Nonmagical Attacks",Fire,—,10,Darkvision 60 Ft.,Ignan,"[{""Name"":""Death Burst"",""Desc"":""When the magmin dies, it explodes in a burst of fire and magma. Each creature within 10 ft. of it must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one. Flammable objects that aren't being worn or carried in that area are ignited.""},{""Name"":""Ignited Illumination"",""Desc"":""As a bonus action, the magmin can set itself ablaze or extinguish its flames. While ablaze, the magmin sheds bright light in a 10-foot radius and dim light for an additional 10 ft.""}]","[{""Name"":""Touch"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""2d6"",""Damage Type"":""fire"",""Desc"":""If the target is a creature or a flammable object, it ignites. Until a creature takes an action to douse the fire, the creature takes 3 (1d6) fire damage at the end of each of its turns""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390065495/pXv7B_z1XqINj9q4nL7WTA/original.png,0.5,9,14,30,0,0,0,0,30,1,0,1,0,0,3,1,0,0,1,60,0,0,0,10,1,0,0,0,0,0,4.0,11,10.5,4.666666666666666,0,15.166666666666666,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,2.0,0.0,7.166666666666666,-1.0,-1.0,0.0,0.0,33.0,0.25,0.25,28.125,7.03125,7.03125,14.0625,14.0625,0.0,0.0,-5.0625,magmin,cr1
Lizardfolk,Medium,humanoid (lizardfolk),Neutral,22 (4d8+4),"15 (Natural Armor, Shield)","30 ft., swim 30 ft.",1/2,100,15,2,10,0,13,1,7,-2,12,1,7,-2,—,"Perception +3, Stealth +4, Survival +5",—,—,—,—,—,13,—,Draconic,"[{""Name"":""Hold Breath"",""Desc"":""The lizardfolk can hold its breath for 15 minutes.""}]","[{""Name"":""Multiattack"",""Desc"":""The lizardfolk makes two melee attacks, each one with a different weapon.""},{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""},{""Name"":""Heavy Club"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""bludgeoning""},{""Name"":""Javelin"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""},{""Name"":""Javelin"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""4"",""Reach"":""30/120 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""},{""Name"":""Spiked Shield"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/391961341/wdKo5a35_bDPRAuHyVgO2g/original.png,0.5,22,15,30,0,30,0,0,30,2,0,2,0,3,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,4.0,0,11.0,0.0,0,11.0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,0.25,0.25,26.25,0.0,0.0,0.0,26.25,0.0,0.0,-4.25,humanoid,cr1
Magma Mephit,Small,elemental,Neutral Evil,22 (5d6+5),11,"30 ft., fly 30 ft.",1/2,100,8,-1,12,1,12,1,7,-2,10,0,10,0,—,Stealth +3,Cold,Cold,—,"Fire, Poison",Poisoned,10,Darkvision 60 Ft.,"Ignan, Terran","[{""Name"":""Death Burst"",""Desc"":""When the mephit dies, it explodes in a burst of lava. Each creature within 5 ft. of it must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one.""},{""Name"":""False Appearance"",""Desc"":""While the mephit remains motionless, it is indistinguishable from an ordinary mound of magma.""},{""Name"":""Innate Spellcasting (1/Day)"",""Desc"":""The mephit can innately cast heat metal (spell save DC 10), requiring no material components. Its innate spellcasting ability is Charisma.""}]","[{""Name"":""Claws"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one creature"",""Damage"":""1d4 + 1"",""Damage Type"":""slashing"",""Damage 2"":""1d4"",""Damage 2 Type"":""fire""},{""Name"":""Fire Breath (Recharge 6)"",""Desc"":""The mephit exhales a 15-foot cone of fire. Each creature in that area must make a DC 11 Dexterity saving throw, taking 7 (2d6) fire damage on a failed save, or half as much damage on a successful one.""},{""Name"":""Variant: Summon Mephits (1/Day)"",""Desc"":""The mephit has a 25 percent chance of summoning 1d4 mephits of its kind. A summoned mephit appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can't summon other mephits. It remains for 1 minute, until it or its summoner dies, or until its summoner dismisses it as an action.""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390065482/0vtEV_4G6vP3xXS6-QDzLA/original.png,0.5,22,11,30,30,0,0,0,30,2,1,1,0,1,0,2,1,1,1,60,0,0,0,10,3,0,0,0,0,0,3.0,11,7.0,7.0,0,14.0,0,0,0,1,0,[],0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,3.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,1.0,-1.0,6.0,-1.0,-1.0,0.0,0.0,33.0,0.25,0.25,32.0,0.0,8.0,8.0,24.0,0.0,0.0,-2.0,elemental,cr1
Crocodile,Large,beast,Unaligned,19 (3d10+3),12 (Natural Armor),"20 ft., swim 30 ft.",1/2,100,15,2,10,0,13,1,2,-4,10,0,5,-3,—,Stealth +2,—,—,—,—,—,10,—,—,"[{""Name"":""Hold Breath"",""Desc"":""The crocodile can hold its breath for 15 minutes.""}]","[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one creature"",""Damage"":""1d10 + 2"",""Damage Type"":""piercing"",""Desc"":""The target is grappled (escape dc 12) Until this grapple ends, the target is restrained, and the crocodile can't bite another target""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390061684/TdnGQnrEsahAbmUFzv7uYA/original.png,0.5,19,12,20,0,30,0,0,30,2,0,3,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,4.0,12,7.5,0.0,0,7.5,0,0,0,0,1,[],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,0.0,0.0,-0.5,0.0,1.0,-10.0,0.0,33.0,0.25,0.25,33.375,0.0,0.0,0.0,33.375,0.0,0.0,-14.375,crocodile,cr1
Black Bear,Medium,beast,Unaligned,19 (3d8+6),11 (Natural Armor),"40 ft., climb 30 ft.",1/2,100,15,2,10,0,14,2,2,-4,12,1,7,-2,—,—,—,—,—,—,—,13,—,—,"[{""Name"":""Keen Smell"",""Desc"":""The bear has advantage on Wisdom (Perception) checks that rely on smell.""}]","[{""Name"":""Multiattack"",""Desc"":""The bear makes two attacks: one with its bite and one with its claws.""},{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""},{""Name"":""Claws"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""2d4 + 2"",""Damage Type"":""slashing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390058599/SedkaKv_38M1MIcD08Vufw/original.png,0.5,19,11,40,0,0,0,30,40,2,0,2,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,3.0,0,12.5,0.0,0,12.5,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,-1.0,-1.0,4.5,0.0,0.0,10.0,0.0,33.0,0.25,0.25,33.125,0.0,0.0,0.0,33.125,0.0,0.0,-14.125,beast,cr1
Cockatrice,Small,monstrosity,Unaligned,27 (6d6+6),11,"20 ft., fly 40 ft.",1/2,100,6,-2,12,1,12,1,2,-4,13,1,5,-3,—,—,—,—,—,—,—,11,Darkvision 60 Ft.,—,—,"[{""Name"":""Bite"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""5 ft."",""Target"":""one creature"",""Damage"":""1d4 + 1"",""Damage Type"":""piercing"",""Desc"":""The target must succeed on a dc 11 constitution saving throw against being magically petrified On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390059435/XhsO-O-E1L4G5tuT1fqxgA/original.png,0.5,27,11,20,40,0,0,0,40,2,1,1,0,0,0,0,0,0,1,60,0,0,0,10,1,0,0,0,0,0,3.0,11,3.5,0.0,0,3.5,0,0,0,0,0,[],0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,10,60,0,-1.0,-1.0,-4.5,-1.0,-1.0,-10.0,0.0,33.0,0.25,0.25,43.375,0.0,0.0,0.0,43.375,0.0,0.0,-16.375,cockatrice,cr1
Swarm of Beetles,Medium,swarm of tiny beasts,Unaligned,22 (5d8),12 (Natural Armor),"20 ft., burrow 5 ft., climb 20 ft.",1/2,100,3,-4,13,1,10,0,1,-5,7,-2,1,-5,—,—,—,—,"Bludgeoning, Piercing, Slashing",—,"Charmed, Frightened, Grappled, Paralyzed, Petrified, Prone, Restrained, Stunned",8,Blindsight 10 Ft.,—,"[{""Name"":""Swarm"",""Desc"":""The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny insect. The swarm can't regain hit points or gain temporary hit points.""}]","[{""Name"":""Bites (swarm has more than half HP)"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""0 ft."",""Target"":""one target in the swarm's space"",""Damage"":""4d4"",""Damage Type"":""piercing""},{""Name"":""Bites (swarm has half HP or less)"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""3"",""Reach"":""0 ft."",""Target"":""one target in the swarm's space"",""Damage"":""2d4"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390116058/i445GKrMog0MnRUHGKeXKw/original.png,0.5,22,12,20,0,0,5,20,20,3,0,2,0,0,3,0,0,8,0,0,1,0,0,10,2,0,0,0,0,0,3.0,0,10.0,0.0,0,10.0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,0.0,-1.0,2.0,0.0,0.0,-10.0,0.0,33.0,0.25,0.25,33.5,8.375,0.0,8.375,25.125,0.0,0.0,-3.125,swarm of beetles,cr1
Scout,Medium,humanoid (any race),Any Alignment,16 (3d8+3),13 (Leather Armor),30 ft.,1/2,100,11,0,14,2,12,1,11,0,13,1,11,0,—,"Nature +4, Perception +5, Stealth +6, Survival +5",—,—,—,—,—,15,—,Any One Language (Usually Common),"[{""Name"":""Keen Hearing and Sight"",""Desc"":""The scout has advantage on Wisdom (Perception) checks that rely on hearing or sight.""}]","[{""Name"":""Multiattack"",""Desc"":""The scout makes two melee attacks or two ranged attacks.""},{""Name"":""Shortsword"",""Type Attack"":""Weapon Attack"",""Type"":""Melee"",""Hit Bonus"":""4"",""Reach"":""5 ft."",""Target"":""one target"",""Damage"":""1d6 + 2"",""Damage Type"":""piercing""},{""Name"":""Longbow"",""Type Attack"":""Weapon Attack"",""Type"":""Ranged"",""Hit Bonus"":""4"",""Reach"":""150/600 ft."",""Target"":""one target"",""Damage"":""1d8 + 2"",""Damage Type"":""piercing""}]",—,—,—,,Free Basic Rules (2014),https://files.d20.io/images/390068510/tTkfbiQd-uReIoZ-mq1pPQ/original.png,0.5,16,13,30,0,0,0,0,30,1,0,2,0,4,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,4.0,0,13.0,0.0,0,13.0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.0,33.0,12.0,4.0,8.0,12.0,2.0,30.0,30,0,60,0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,33.0,0.25,0.25,27.75,0.0,0.0,0.0,27.75,0.0,0.0,-11.75,scout,cr1
