pattern,features,mapping_type,notes,count,monsters
ethereal,,unmapped,Ethereal plane access,10,Ghost|Incubus|Night Hag|Nightmare|Phase Spider|Succubus|Succubus (Incubus)
charm_effect,,unmapped,Charm effect beyond inflicts_charmed,10,Aboleth|Dryad|Harpy|Incubus|Succubus|Succubus (Incubus)|Vampire
inflicts_unconscious,,unmapped,Not in CONDITIONS list (10 occurrences),10,Adult Brass Dragon|Ancient Brass Dragon|Animated Armor|Brass Dragon Wyrmling|Couatl|Flying Sword|Pseudodragon|Rug of Smothering|Sprite|Young Brass Dragon
stealth_advantage,,unmapped,Advantage on Stealth checks,8,Deep Gnome (Svirfneblin)|Giant Octopus|Grick|Grimlock|Octopus|Stone Giant|Winter Wolf|Xorn
death_burst,,unmapped,Damage/effect on death,7,Balor|Dust Mephit|Ice Devil|Ice Mephit|Magma Mephit|Magmin|Steam Mephit
heals_on_damage,,unmapped,Heals equal to damage dealt,6,Clay Golem|Flesh Golem|Iron Golem|Shambling Mound|Vampire|Vampire Spawn
teleport,,unmapped,Teleportation ability,6,Archmage|Balor|Blink Dog|Marilith|Nalfeshnee|Unicorn
surprise_attack,,unmapped,Surprise-based bonus,6,Assassin|Bugbear|Doppelganger|Gelatinous Cube|Sea Hag
incorporeal,,unmapped,Move through objects/creatures,4,Ghost|Specter|Will-o'-Wisp|Wraith
damage_on_start_turn,,unmapped,Damage at start of turn,3,Troll|Vampire|Vampire Spawn
regeneration_prevention,,unmapped,Conditions that stop regeneration,3,Troll|Vampire|Vampire Spawn
gaze_attack,,unmapped,"Gaze-based attacks (medusa, etc.)",2,Basilisk|Medusa
speed_reduction,,unmapped,Speed reduction effect,2,Gibbering Mouther|Water Elemental
bonus_action_hide,,unmapped,Hide as bonus action (Nimble Escape),2,Goblin|Shadow
life_drain,,unmapped,Life drain mechanic,1,Wight
damage_on_end_turn,,unmapped,Damage at end of turn,1,Hydra
